ARRIVAL_TIME,DEPARTURE_TIME,SHAPE_DIST_TRAVELED,STOP_ID,STOP_SEQUENCE,TRIP_ID,GEOMETRY_COORDINATES,STOP_NAME
8:02:00,8:02:00,12.25383,U893Z4,20,331_260_200302,"[14.45143, 50.02735]",Zálesí
8:04:00,8:04:00,12.80669,U488Z7,21,331_260_200302,"[14.45515, 50.03038]",Nemocnice Krč
8:08:00,8:08:00,14.16983,U228Z5,22,331_260_200302,"[14.46033, 50.04203]",Kačerov
7:39:00,7:39:00,0.0,U1517Z2,1,333_1012_200302,"[14.41051, 49.902]","Březová-Oleško,Oleško"
7:40:00,7:40:00,0.75929,U1516Z2,2,333_1012_200302,"[14.41319, 49.90846]","Březová-Oleško,U Topolů"
7:41:00,7:41:00,1.16044,U9551Z2,3,333_1012_200302,"[14.41437, 49.91185]","Březová-Oleško,Školka"
7:42:00,7:42:00,1.63421,U1515Z2,4,333_1012_200302,"[14.41559, 49.91507]","Březová-Oleško,Březová"
7:44:00,7:44:00,2.58248,U1514Z2,5,333_1012_200302,"[14.41984, 49.92087]","Zvole,Černíky"
7:45:00,7:45:00,2.9558,U1905Z2,6,333_1012_200302,"[14.42129, 49.92397]","Zvole,Nová Zvole"
7:46:00,7:46:00,3.73672,U1904Z2,7,333_1012_200302,"[14.4239, 49.93073]","Zvole,Jílovská"
7:49:00,7:49:00,4.07623,U1513Z2,8,333_1012_200302,"[14.42259, 49.93355]",Zvole
7:50:00,7:50:00,4.83433,U6955Z2,9,333_1012_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
7:51:00,7:51:00,5.31127,U1512Z2,10,333_1012_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
7:53:00,7:53:00,5.9638,U1506Z2,11,333_1012_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
