TRIP_ID,DAY_OF_WEEK,DATE,UNICORN,STOP_ID,STOP_SEQUENCE,STOP_NAME,SHAPE_DIST_TRAVELED,DELAY
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U194Z2,10,Jalodvorská,5.9722599999999995,-46.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U749Z2,11,Tempo,6.841130000000001,-84.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U656Z2,12,Sídliště Krč,7.17996,-52.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U893Z4,13,Zálesí,7.643960000000001,-66.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U488Z7,14,Nemocnice Krč,8.196819999999999,-98.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U228Z5,15,Kačerov,9.55995,-126.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,65.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,13.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U545Z2,3,Písnice,3.37885,7.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U546Z2,4,Ke Březině,3.75854,-11.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U871Z2,5,Lipovická,3.95848,-51.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U369Z2,6,Sídliště Písnice,4.46002,41.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U783Z2,7,U Libušské sokolovny,4.93273,44.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U335Z2,8,Libuš,5.30273,37.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U804Z2,9,U Zvoničky,5.6134,15.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U194Z2,10,Jalodvorská,5.9722599999999995,-2.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U749Z2,11,Tempo,6.841130000000001,-37.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U656Z2,12,Sídliště Krč,7.17996,28.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U893Z4,13,Zálesí,7.643960000000001,40.0
